year,month,pickup_zone,dropoff_zone,trip_count,avg_trip_distance_miles,avg_total_amount,avg_passengers,total_revenue,avg_trip_duration_min
2024,1,Lincoln Square East,Manhattan Valley,2284,2.06,20.3,1.37,46356.75,11.57
2024,1,Midtown North,Murray Hill,2280,1.42,19.33,1.34,44081.69,13.6
2024,1,Lenox Hill West,Lincoln Square East,2263,1.65,20,1.29,45254.84,11.84
2024,1,Penn Station/Madison Sq West,West Village,2262,1.34,17.05,1.34,38565.55,9.36
2024,1,JFK Airport,East Chelsea,2262,18.1,95.7,1.53,216478.7,48.54
2024,1,Union Sq,Midtown South,2262,0.85,15.23,1.34,34456.85,7.92
2024,1,Clinton East,Upper West Side North,2257,2.43,22.67,1.34,51162.7,12.08
2024,1,Union Sq,Union Sq,2250,0.54,16.75,1.32,37677.13,4.27
2024,1,Union Sq,Times Sq/Theatre District,2234,1.59,21.06,1.5,47040.67,16.87
2024,1,LaGuardia Airport,Midtown North,2233,10.38,75.57,1.39,168745.46,35.92
2024,1,Union Sq,West Chelsea/Hudson Yards,2220,1.46,18.75,1.29,41625.96,10.65
2024,1,Lenox Hill East,Midtown Center,2219,1.89,22.37,1.23,49632.44,15.33
2024,1,Lower East Side,East Village,2211,0.85,14.87,1.49,32878.66,6.98
2024,1,Sutton Place/Turtle Bay North,Yorkville West,2210,1.73,18.93,1.28,41840.36,10.09
2024,1,Penn Station/Madison Sq West,Upper East Side South,2201,2.45,26.85,1.33,59102.15,20.44
2024,1,Upper East Side South,Times Sq/Theatre District,2191,1.49,20.28,1.41,44442.05,13.72
2024,1,Murray Hill,East Chelsea,2188,1.49,19.8,1.29,43324.55,13.62
2024,1,West Chelsea/Hudson Yards,West Chelsea/Hudson Yards,2184,0.74,17.24,1.39,37648.86,7.12
2024,1,Penn Station/Madison Sq West,UN/Turtle Bay South,2165,1.51,20.95,1.29,45351.91,15.61
2024,1,Gramercy,Union Sq,2160,0.71,14.19,1.31,30648.49,6.2
2024,1,JFK Airport,LaGuardia Airport,2160,11.58,60.48,1.45,130641.49,25.66
2024,1,Murray Hill,East Village,2158,1.74,19.31,1.33,41676.06,10.5
2024,1,Upper East Side South,Lincoln Square West,2152,1.66,20.41,1.28,43920.21,13.46
2024,1,Penn Station/Madison Sq West,Flatiron,2140,0.77,13.54,1.33,28984.18,6.44
2024,1,TriBeCa/Civic Center,TriBeCa/Civic Center,2139,0.59,18.16,1.33,38847.07,4.86
2024,1,West Village,Gramercy,2139,1.44,18.91,1.37,40441.97,12.97
2024,1,East Chelsea,Flatiron,2136,0.91,14.8,1.35,31619.97,8.42
2024,1,Murray Hill,Midtown South,2128,0.72,15.35,1.32,32669.47,7.48
2024,1,Times Sq/Theatre District,Upper West Side North,2118,2.6,24.72,1.33,52353,14.55
2024,1,Times Sq/Theatre District,Lincoln Square West,2110,1.53,19.47,1.33,41080.56,10.9
2024,1,Greenwich Village North,East Village,2100,0.81,15.1,1.29,31706.99,7.73
2024,1,Midtown North,Sutton Place/Turtle Bay North,2095,1.07,16.39,1.28,34333.63,9.31
2024,1,Garment District,Midtown North,2093,1.18,17.69,1.39,37013.83,11.31
2024,1,Lincoln Square East,Lenox Hill East,2088,1.99,22.45,1.3,46879.06,15.12
2024,1,Midtown North,Upper West Side North,2083,2.3,22.95,1.3,47796.24,14.6
2024,1,Midtown Center,Central Park,2079,1.66,20.01,1.47,41608.12,13.54
2024,1,Central Park,Central Park,2077,1.09,17.41,1.51,36156.82,8.84
2024,1,Greenwich Village South,West Village,2076,0.91,15.27,1.48,31707.64,8.34
2024,1,Midtown Center,Upper West Side North,2072,2.83,26.74,1.24,55401.67,18.9
2024,1,Union Sq,Gramercy,2071,0.73,14.6,1.3,30226.78,6.96
2024,1,Clinton East,Penn Station/Madison Sq West,2063,1.18,16.77,1.44,34603.98,9.2
2024,1,LaGuardia Airport,Upper East Side North,2057,8.49,63.06,1.31,129704.13,22.07
2024,1,Central Park,Upper West Side North,2051,1.43,17.2,1.36,35269,10.13
2024,1,Gramercy,Gramercy,2042,0.54,16.79,1.31,34286.2,4.8
2024,1,Midtown North,Midtown South,2034,1.4,19.12,1.42,38898.83,11.69
2024,1,JFK Airport,Midtown East,2033,18.14,95.27,1.51,193679.69,41.5
2024,1,Upper East Side North,East Harlem North,2032,1.88,18.59,1.31,37764.34,10.86
2024,1,East Chelsea,Midtown South,2024,1.16,18.23,1.42,36901.19,10.96
2024,1,Garment District,Murray Hill,2023,0.88,15.88,1.33,32130.81,8.59
2024,1,LaGuardia Airport,Murray Hill,2018,8.95,65.96,1.29,133115.43,24.19
2024,1,Upper West Side South,Yorkville West,2014,1.81,20.17,1.34,40617.19,11.27
2024,1,Penn Station/Madison Sq West,Upper East Side North,2014,3.45,31.66,1.35,63762.96,25.87
2024,1,Murray Hill,Midtown North,2012,1.37,20.1,1.33,40447.42,12.9
2024,1,Midtown East,West Chelsea/Hudson Yards,2007,1.97,23.6,1.31,47362.66,17.13
2024,1,Central Park,Midtown North,2004,1.35,17.91,1.51,35898.36,12.24
2024,1,Sutton Place/Turtle Bay North,UN/Turtle Bay South,2000,0.77,13.59,1.28,27179.86,6.04
2024,1,Upper West Side South,Morningside Heights,1996,1.99,19.8,1.37,39514.3,12.03
2024,1,West Village,Murray Hill,1996,2.13,22.78,1.35,45474.63,14.51
2024,1,Garment District,West Chelsea/Hudson Yards,1992,1.02,16.26,1.34,32381.91,9.41
2024,1,Times Sq/Theatre District,Union Sq,1983,1.71,20.84,1.5,41331.65,13.89
2024,1,West Village,West Chelsea/Hudson Yards,1976,1.67,18.68,1.36,36907.16,10.43
2024,1,Central Park,Times Sq/Theatre District,1974,1.78,21.1,1.65,41648.31,14.45
2024,1,Midtown Center,Greenwich Village North,1973,2.11,22.98,1.33,45334.47,15.11
2024,1,Times Sq/Theatre District,Sutton Place/Turtle Bay North,1972,1.24,18.48,1.4,36446.46,13.69
2024,1,Midtown North,West Chelsea/Hudson Yards,1972,2.06,22.65,1.34,44670.73,15.69
2024,1,Upper West Side South,Lenox Hill West,1962,1.94,21.21,1.38,41613.81,12.63
2024,1,JFK Airport,Baisley Park,1959,3.78,25.04,1.4,49056.15,12.16
2024,1,Midtown Center,Yorkville East,1957,2.53,25.81,1.26,50518.62,16.93
2024,1,Clinton East,Clinton West,1954,0.79,14.13,1.39,27608.52,5.77
2024,1,Midtown North,Midtown North,1954,0.64,21.09,1.37,41203.58,5.47
2024,1,Gramercy,Penn Station/Madison Sq West,1950,1.22,18.1,1.28,35293.83,10.66
