year,month,pickup_zone,dropoff_zone,trip_count,avg_trip_distance_miles,avg_total_amount,avg_passengers,total_revenue,avg_trip_duration_min
2024,1,East Elmhurst,Hillcrest/Pomonok,15,7.08,41.76,1.2,626.39,18.36
2024,1,Battery Park,East Village,15,3.95,27.95,1.67,419.31,15
2024,1,Financial District North,Astoria,15,10.2,53.66,1.4,804.85,28.08
2024,1,East Elmhurst,North Corona,15,2.77,25.09,1.47,376.38,13.42
2024,1,Clinton East,East Elmhurst,15,10.71,66.2,1.27,992.95,34.39
2024,1,Murray Hill,Melrose South,15,7.09,36.99,1.33,554.9,23.33
2024,1,Lincoln Square East,West Concourse,15,6.84,45.51,1.4,682.6,28.58
2024,1,Meatpacking/West Village West,Washington Heights North,15,9.85,60.38,1.13,905.63,32.36
2024,1,Flatbush/Ditmas Park,Prospect-Lefferts Gardens,15,2.74,20.05,1,300.7,26.21
2024,1,Brooklyn Heights,Fort Greene,15,1.36,16.91,1.4,253.67,13.07
2024,1,Dyker Heights,Financial District North,15,6.55,39.4,1,591.04,40.67
2024,1,East Elmhurst,Bay Terrace/Fort Totten,15,7.79,43.88,1.07,658.2,16.61
2024,1,LaGuardia Airport,Brooklyn Navy Yard,15,9.33,61.22,1.33,918.22,35.85
2024,1,Midtown East,Ridgewood,15,7.55,51.79,1.47,776.79,31.71
2024,1,Steinway,Old Astoria,15,1.2,20.87,1.27,313.11,8.81
2024,1,Central Harlem North,Melrose South,15,1.79,16.94,1.27,254.07,15.56
2024,1,Woodside,LaGuardia Airport,15,4.05,53.79,1.6,806.88,11.96
2024,1,Gramercy,Bay Ridge,15,12.1,60.68,1.4,910.14,30.87
2024,1,Gramercy,Flatbush/Ditmas Park,15,9.05,50.06,1,750.89,49.43
2024,1,Coney Island,Lenox Hill East,15,15.97,57.66,1,864.82,85.01
2024,1,JFK Airport,Van Cortlandt Park,15,23.2,102.59,1.2,1538.8,46.6
2024,1,Financial District North,Washington Heights South,15,12.14,57.24,1.6,858.58,36.64
2024,1,Sunnyside,Greenpoint,15,2.25,17.45,1.07,261.78,11.94
2024,1,Midtown South,Prospect-Lefferts Gardens,15,9.27,57.38,1.67,860.66,36.36
2024,1,Williamsburg (South Side),Lower East Side,15,2.03,24.68,1.6,370.22,9.7
2024,1,Clinton East,Crown Heights South,15,9.27,53.76,1.33,806.45,41.79
2024,1,Jamaica,Sunnyside,15,9.6,37.25,1.07,558.75,38.29
2024,1,Manhattanville,Midtown Center,15,5.34,35.28,1,529.25,26.97
2024,1,Morningside Heights,Newark Airport,15,22.48,137.39,1.87,2060.79,42.26
2024,1,East Harlem South,Springfield Gardens South,15,16.12,67.79,1,1016.78,66.28
2024,1,Boerum Hill,Prospect Heights,15,1.27,15.44,1.33,231.55,9.45
2024,1,Downtown Brooklyn/MetroTech,Carroll Gardens,15,1.57,15.54,1.47,233.06,10.26
2024,1,Washington Heights South,Riverdale/North Riverdale/Fieldston,15,5.26,30.39,1.27,455.77,17.39
2024,1,Clinton West,Spuyten Duyvil/Kingsbridge,15,10.14,54.35,1.87,815.2,19.79
2024,1,Lincoln Square East,Bushwick South,15,9.36,58.54,1.47,878.1,41.83
2024,1,East Village,South Williamsburg,15,3.19,28.13,1.6,422,20.03
2024,1,Kips Bay,Rosedale,15,13.24,58.86,1,882.86,82.69
2024,1,Battery Park City,Long Island City/Hunters Point,15,7.9,51.42,1.13,771.33,23.46
2024,1,Lenox Hill East,Clinton Hill,15,8.8,52.45,1.4,786.72,31.3
2024,1,Lenox Hill West,Cobble Hill,15,8.35,51.42,1,771.25,28.39
2024,1,East Elmhurst,Spuyten Duyvil/Kingsbridge,15,12.52,75.61,1,1134.15,27.55
2024,1,West Village,Kensington,15,8.15,52.02,1,780.27,22.49
2024,1,Murray Hill,Flushing,15,11.46,60.36,1.33,905.37,34.75
2024,1,Lincoln Square West,Outside of NYC,15,21.1,132.02,1.33,1980.31,38.56
2024,1,Forest Hills,Upper East Side South,15,8.37,39.04,1,585.58,49.51
2024,1,Melrose South,Mott Haven/Port Morris,15,0.84,16.75,1.27,251.28,9.37
2024,1,Lenox Hill East,East New York,15,13.71,61.64,1,924.59,67.67
2024,1,Flatlands,Boerum Hill,15,5.42,28.87,1,433,54.55
2024,1,Carroll Gardens,Carroll Gardens,15,0.26,47.73,1.33,715.89,1.88
2024,1,Lincoln Square West,Spuyten Duyvil/Kingsbridge,15,8.73,48.53,1,727.98,16.62
2024,1,Upper East Side South,Flatbush/Ditmas Park,15,12.65,69.09,1,1036.34,45.51
2024,1,Alphabet City,Lincoln Square West,15,5.29,39.96,1.13,599.41,26.01
2024,1,Midtown South,Bushwick North,15,6.91,50.58,1.33,758.65,29.09
2024,1,East Elmhurst,Riverdale/North Riverdale/Fieldston,15,14.45,82.8,1,1242.02,26.71
2024,1,Chinatown,Yorkville East,15,6.82,45.23,1.2,678.46,29.22
2024,1,Old Astoria,Long Island City/Queens Plaza,15,1.48,13.1,1.2,196.47,9.01
2024,1,East Elmhurst,Windsor Terrace,15,14.84,78.56,1.47,1178.36,33.3
2024,1,Fort Greene,Prospect-Lefferts Gardens,15,2.77,23.34,1.13,350.03,20.43
2024,1,Morrisania/Melrose,Morrisania/Melrose,15,0,28.01,1.67,420.2,0.56
2024,1,East Chelsea,Baisley Park,15,16.64,96.02,1.53,1440.28,59.74
2024,1,Chinatown,Clinton Hill,15,2.98,25.74,1.33,386.07,16.46
2024,1,Garment District,Elmhurst/Maspeth,15,6.65,41.11,1.47,616.64,23.29
2024,1,Kips Bay,Mott Haven/Port Morris,15,6.43,34.99,1.47,524.9,27.75
2024,1,DUMBO/Vinegar Hill,Midtown Center,15,6.58,40.56,1.93,608.34,25.21
2024,1,Mott Haven/Port Morris,Pelham Parkway,15,5.93,32.87,1,493,43.43
2024,1,Long Island City/Hunters Point,UN/Turtle Bay South,15,4.88,75.07,1.4,1126.11,18.32
2024,1,Bay Ridge,Arrochar/Fort Wadsworth,15,0.38,18.84,1.93,282.58,53.63
2024,1,Battery Park City,Central Harlem,15,8.86,50.41,1.4,756.09,28.83
2024,1,Central Harlem North,Bloomingdale,15,1.83,15.16,1.33,227.4,10.95
2024,1,Stuyvesant Heights,Crown Heights North,15,1.65,18.54,1,278.1,23.29
2024,1,LaGuardia Airport,Starrett City,15,14.07,71.36,1,1070.38,36.28
2024,1,Boerum Hill,East New York,14,7.25,30.86,1.14,432.03,63.23
2024,1,Sutton Place/Turtle Bay North,Manhattanville,14,5.68,41.88,1.21,586.33,29.17
2024,1,Chinatown,Fort Greene,14,2.62,24.16,1.29,338.26,14.12
2024,1,Fort Greene,Lower East Side,14,2.49,20.29,1.29,284.03,9.2
2024,1,Meatpacking/West Village West,Prospect Heights,14,5.8,43.04,1.29,602.49,27.8
2024,1,Yorkville West,Newark Airport,14,21.87,146.53,1.29,2051.4,46.09
2024,1,Lenox Hill West,Sunset Park West,14,10.88,61.93,1.21,867,31.21
2024,1,Long Island City/Queens Plaza,Upper East Side North,14,2.93,23.6,1,330.45,14.84
2024,1,Two Bridges/Seward Park,Bedford,14,3.36,26.53,1.29,371.41,19.07
2024,1,Baisley Park,Midtown North,14,14.45,101.24,2.14,1417.29,41.55
2024,1,JFK Airport,Arrochar/Fort Wadsworth,14,22.9,114.38,1.86,1601.33,37.99
2024,1,Clinton East,Claremont/Bathgate,14,10.2,51.83,1.36,725.66,28.93
2024,1,Yorkville East,Inwood,14,7.4,41.09,1.14,575.26,18.81
2024,1,Upper East Side South,East Concourse/Concourse Village,14,5.92,33.89,1.36,474.46,23.59
2024,1,Clinton West,Seaport,14,4.83,33.19,1.71,464.72,22.51
2024,1,Woodside,JFK Airport,14,12.96,94.97,1.71,1329.58,38.15
2024,1,Midtown South,Red Hook,14,8.96,56.31,1.21,788.31,35.6
2024,1,Lower East Side,Woodside,14,7.19,41.12,1.14,575.71,19.95
2024,1,West Village,Sunset Park East,14,8.6,51.27,1.57,717.72,25.42
2024,1,Central Harlem North,Murray Hill,14,6.42,31.41,1,439.76,35.6
2024,1,Cobble Hill,Cobble Hill,14,0.29,22.25,1.07,311.49,2.85
2024,1,East Flatbush/Farragut,East Flatbush/Remsen Village,14,1.89,19.07,1,267,28.43
2024,1,Baisley Park,Garment District,14,14.19,99.42,1.5,1391.89,36.18
2024,1,UN/Turtle Bay South,South Williamsburg,14,5.52,35.34,1.29,494.74,27.07
2024,1,Brooklyn Heights,Midtown North,14,7.72,46.76,1.29,654.6,26.56
2024,1,Sunnyside,Garment District,14,4.26,60.06,1.29,840.8,26.22
2024,1,Midtown Center,Bushwick North,14,7.41,56.83,1.21,795.55,37.69
2024,1,JFK Airport,New Dorp/Midland Beach,14,26.23,130.06,1.36,1820.77,53.99
2024,1,Long Island City/Hunters Point,Forest Hills,14,6.08,33.47,1.14,468.52,19.16
2024,1,Brownsville,East Flatbush/Remsen Village,14,0.81,21.07,1,295,13.86
2024,1,Upper East Side North,Outside of NYC,14,19.57,125.29,1.43,1754.01,49.02
2024,1,Murray Hill,Prospect-Lefferts Gardens,14,9.93,55.32,1.07,774.47,44.78
2024,1,Clinton Hill,Crown Heights North,14,2.34,19.21,1.07,268.88,21.86
2024,1,Upper West Side North,Outside of NYC,14,16.07,108.25,1.29,1515.45,43.31
2024,1,Garment District,Long Island City/Queens Plaza,14,3.76,30.97,1.07,433.64,22.84
2024,1,Crown Heights North,Ocean Hill,14,1.6,19.48,1,272.7,17.62
2024,1,Central Harlem North,LaGuardia Airport,14,7.93,51,1.57,713.99,19.01
2024,1,Central Park,Jackson Heights,14,7.04,51.06,1.29,714.87,36.9
2024,1,TriBeCa/Civic Center,Washington Heights North,14,12.51,69.2,1.07,968.85,33.2
2024,1,Gramercy,Brighton Beach,14,11.65,59.2,1,828.76,69.77
2024,1,TriBeCa/Civic Center,Sunnyside,14,8.41,50.48,1.86,706.72,28.4
2024,1,Union Sq,Prospect-Lefferts Gardens,14,8.16,55.49,1.93,776.92,37.65
2024,1,Downtown Brooklyn/MetroTech,Penn Station/Madison Sq West,14,4.76,36.21,1.21,506.88,27.45
2024,1,Battery Park,Meatpacking/West Village West,14,2.96,25.01,1.86,350.14,14.9
2024,1,Penn Station/Madison Sq West,East Elmhurst,14,9.44,63.28,1.21,885.88,32.55
2024,1,Long Island City/Hunters Point,South Ozone Park,14,11.01,67.59,1.79,946.25,33.94
2024,1,Central Park,Boerum Hill,14,8.99,54,2.21,756.03,33.54
2024,1,East Harlem South,Highbridge,14,4.5,26.64,1.57,372.95,21.91
2024,1,Greenwich Village North,Old Astoria,14,6.84,50.34,1.14,704.81,30.15
2024,1,JFK Airport,Saint Michaels Cemetery/Woodside,14,12.07,59.45,1.21,832.24,19.77
2024,1,Springfield Gardens South,East Harlem South,14,12.68,66.09,1,925.21,52.53
2024,1,Sutton Place/Turtle Bay North,Queensbridge/Ravenswood,14,3.05,25.11,1.36,351.5,15.21
2024,1,Crown Heights North,Clinton Hill,14,2.14,21.67,1,303.35,25.28
2024,1,Central Harlem North,Lenox Hill West,14,4.95,28.4,1,397.6,29.08
2024,1,Hudson Sq,Battery Park,14,2.09,21.23,1.07,297.24,11.77
2024,1,Financial District North,Starrett City,14,7.54,65.77,1,920.84,42.39
2024,1,East Harlem North,Union Sq,14,5.7,32.76,1.21,458.59,28.59
2024,1,Yorkville East,Outside of NYC,14,15.86,92.77,1.64,1298.83,32.94
2024,1,Union Sq,Sunset Park West,14,8.95,59.1,1.79,827.43,30.44
2024,1,Canarsie,Kips Bay,14,11.74,53.71,1,751.94,67.16
2024,1,Downtown Brooklyn/MetroTech,Financial District North,14,2.2,25.47,1.5,356.51,9.25
2024,1,Upper West Side South,Cobble Hill,14,9.7,57.9,1.36,810.6,35.41
2024,1,Hudson Sq,Washington Heights North,14,10.54,60.15,1,842.06,32.95
2024,1,Lincoln Square East,Bushwick North,14,8.95,59.1,1.36,827.39,41.41
2024,1,Woodside,Times Sq/Theatre District,14,5.21,75.61,1.64,1058.52,23.6
2024,1,Little Italy/NoLiTa,Bay Ridge,14,9.07,52.69,1.14,737.59,24.55
2024,1,Sunnyside,East Chelsea,14,4.66,50.71,1.57,709.95,28.75
2024,1,East Concourse/Concourse Village,East Concourse/Concourse Village,14,0.18,19.38,1.07,271.3,4.29
2024,1,Midtown North,Spuyten Duyvil/Kingsbridge,14,10.19,59.62,1.07,834.69,24.97
2024,1,Washington Heights South,Yorkville West,14,5.57,34.45,1.36,482.34,23.53
2024,1,Sutton Place/Turtle Bay North,Melrose South,14,5.6,32.84,1,459.7,17.68
2024,1,East New York/Pennsylvania Avenue,East New York,14,1.65,20.49,1,286.9,25.06
2024,1,Two Bridges/Seward Park,Clinton West,14,4.74,38.45,1.64,538.24,27.29
2024,1,Fort Greene,Ocean Hill,14,4.4,25.54,1,357.5,36.99
2024,1,Fort Greene,East New York,14,5.13,30.05,1.14,420.7,45.22
2024,1,Bensonhurst East,Brownsville,14,8.79,38.14,1,534,49.56
2024,1,Battery Park,Murray Hill,14,5.5,36.01,2,504.15,17.44
2024,1,SoHo,Bushwick South,14,4.7,38.49,1.79,538.9,110.01
2024,1,Times Sq/Theatre District,Maspeth,14,7.59,52.47,1.79,734.55,31.22
2024,1,Lenox Hill East,Melrose South,14,5.65,42.11,1.21,589.51,125.61
2024,1,Yorkville West,Queensbridge/Ravenswood,14,3.83,28.86,1.29,404.09,17.64
2024,1,Long Island City/Queens Plaza,Murray Hill,14,2.94,22.99,1.14,321.91,14.27
2024,1,Stuy Town/Peter Cooper Village,LaGuardia Airport,14,10.21,63.76,1.79,892.57,21.53
2024,1,Upper East Side North,Crown Heights North,14,11.65,65.57,1.5,918,39.49
2024,1,Morningside Heights,Hudson Sq,14,7.26,48.06,1.21,672.86,25.93
2024,1,SoHo,Bloomingdale,14,6.82,44.2,1.36,618.76,27.23
2024,1,Seaport,Central Park,14,6.84,41.71,1.57,583.99,21.45
2024,1,Kips Bay,East Concourse/Concourse Village,14,7.25,38.17,1.43,534.44,37.22
2024,1,East Harlem South,Van Nest/Morris Park,14,8.29,36.97,1,517.52,37.22
2024,1,Sunnyside,Lenox Hill East,14,2.63,31.95,1.43,447.33,14.19
2024,1,Morningside Heights,Two Bridges/Seward Park,14,8.88,52.9,1.07,740.61,34.23
2024,1,Morningside Heights,Battery Park City,14,8.07,50.11,1.29,701.57,27.79
2024,1,Park Slope,Brooklyn Heights,14,1.76,18.42,1.64,257.89,14.13
2024,1,Gramercy,Bushwick North,14,6.64,47.19,1.07,660.62,29.42
2024,1,Kips Bay,East Flatbush/Farragut,14,9.37,47.3,1,662.2,60.51
2024,1,Sutton Place/Turtle Bay North,Rego Park,14,6.4,40.01,1.14,560.12,22.26
2024,1,Old Astoria,Jackson Heights,14,2.64,18.59,1.14,260.26,13.14
2024,1,Union Sq,Bay Ridge,14,12.51,69.25,1.14,969.47,33.01
2024,1,Midtown South,East Concourse/Concourse Village,14,8.42,47.17,1,660.36,32.01
2024,1,SoHo,Stuyvesant Heights,14,5.2,40.15,1.71,562.04,29.68
2024,1,West Chelsea/Hudson Yards,Bushwick South,14,7.92,51.55,1.29,721.64,39.95
2024,1,East Elmhurst,Sunset Park West,14,14.03,76.15,1.36,1066.15,32.27
2024,1,Midtown North,Cobble Hill,14,8.36,53.58,1.43,750.07,34.34
2024,1,Midtown South,Sunset Park West,14,9.82,55.59,1.43,778.25,29.7
2024,1,Penn Station/Madison Sq West,Queensbridge/Ravenswood,14,4.06,37.56,1.36,525.87,27.66
2024,1,Hamilton Heights,Upper East Side North,14,3.99,28.97,1,405.54,22.59
2024,1,Sutton Place/Turtle Bay North,Maspeth,14,5.33,36.4,1.07,509.62,24.57
2024,1,West Chelsea/Hudson Yards,Gowanus,14,7.74,55.01,1.29,770.19,30.48
2024,1,East Elmhurst,Briarwood/Jamaica Hills,14,7.17,39.1,2.14,547.38,17.13
2024,1,Brooklyn Heights,Crown Heights North,14,3.02,23.88,1,334.36,27.61
2024,1,TriBeCa/Civic Center,Richmond Hill,14,11.7,50.16,1.21,702.18,40.64
2024,1,Old Astoria,Long Island City/Hunters Point,14,2.25,19.35,1,270.96,22.08
2024,1,Claremont/Bathgate,Lenox Hill East,14,8.12,35.48,1,496.76,42.46
2024,1,Washington Heights South,Murray Hill,14,7.19,38.74,1.07,542.29,41.89
2024,1,Downtown Brooklyn/MetroTech,World Trade Center,14,2.25,20.3,1.43,284.18,10.42
2024,1,Woodhaven,Woodhaven,14,0.13,20.36,1.21,284.99,5.25
2024,1,UN/Turtle Bay South,Hamilton Heights,14,7.19,41,1.29,573.93,21.28
2024,1,East Village,Crown Heights South,14,5.32,39.32,1.14,550.52,27.16
2024,1,Murray Hill,Kensington,14,10.81,62.77,1.07,878.72,30.27
2024,1,Times Sq/Theatre District,Bedford Park,14,11.98,55.25,1.5,773.5,41.24
2024,1,Murray Hill,Spuyten Duyvil/Kingsbridge,14,11.98,65.29,1,914.06,40.91
2024,1,DUMBO/Vinegar Hill,Lower East Side,14,2.73,22.66,1.07,317.21,12.45
2024,1,Upper East Side South,East Williamsburg,14,6.55,46.54,1.36,651.5,31.61
2024,1,Financial District South,Hamilton Heights,14,12.22,58.74,1.36,822.3,42.96
2024,1,UN/Turtle Bay South,Carroll Gardens,14,7.51,51.26,1.29,717.69,26.78
2024,1,Lincoln Square East,Flatbush/Ditmas Park,14,11.38,76.16,1.14,1066.22,40.96
2024,1,East Elmhurst,DUMBO/Vinegar Hill,14,10.2,57.6,1,806.39,22.62
2024,1,Yorkville East,Steinway,14,5.78,40.46,1.43,566.43,104.6
2024,1,Lincoln Square West,Seaport,14,5.82,42.12,1.14,589.67,26.8
2024,1,Old Astoria,Queensbridge/Ravenswood,14,1.41,13.24,1.43,185.35,9.32
2024,1,Alphabet City,Lincoln Square East,14,4.75,33.34,1.86,466.69,20.02
2024,1,Co-Op City,East Harlem North,14,8.01,37.42,1,523.94,58.22
2024,1,Sunnyside,Penn Station/Madison Sq West,14,4.23,41.91,1.07,586.8,21.61
2024,1,Outside of NYC,JFK Airport,14,18.68,99.86,1.29,1397.99,35.49
2024,1,Greenwich Village South,Manhattanville,14,7.8,48.23,1.71,675.23,28.52
2024,1,Prospect-Lefferts Gardens,Downtown Brooklyn/MetroTech,14,4.29,22.86,1,320.1,35.3
2024,1,East Harlem North,East Chelsea,14,6.42,41.01,1.29,574.17,31.65
2024,1,Baisley Park,Lenox Hill West,14,14.05,85.94,1.29,1203.1,43.09
2024,1,Manhattan Valley,Hudson Sq,14,6.65,40.84,1.21,571.81,26.13
2024,1,Sutton Place/Turtle Bay North,Bedford,14,8.11,53.07,1.14,743.04,32.95
2024,1,Financial District South,Williamsburg (South Side),13,4.69,35.67,1.15,463.7,21.87
2024,1,Hamilton Heights,Mott Haven/Port Morris,13,2.28,20.11,1.46,261.4,20.82
2024,1,Baisley Park,Kips Bay,13,14.32,70.06,1.08,910.74,57.03
2024,1,East Harlem South,Spuyten Duyvil/Kingsbridge,13,8.64,50.45,1.23,655.88,26.04
2024,1,Little Italy/NoLiTa,Ridgewood,13,6.81,44.84,1.23,582.93,26.23
2024,1,Manhattan Valley,Mott Haven/Port Morris,13,3.76,29.02,1.08,377.23,23.19
2024,1,East Harlem North,Garment District,13,5.57,37.46,1,486.96,28.24
2024,1,Central Harlem,Washington Heights North,13,4.67,26.96,1.46,350.51,18.56
2024,1,Boerum Hill,Williamsburg (North Side),13,4.63,31.28,1.39,406.67,24.35
2024,1,Lenox Hill East,East Flatbush/Remsen Village,13,10.5,50.86,1.23,661.16,66.41
2024,1,Times Sq/Theatre District,Flushing,13,12.77,72.47,1.85,942.06,48.38
2024,1,Penn Station/Madison Sq West,Melrose South,13,7.87,44.66,2,580.54,29.32
2024,1,Alphabet City,World Trade Center,13,3.53,26.34,1.39,342.41,13.57
2024,1,East Harlem South,Queens Village,13,13.12,53.77,1,699.02,51.01
2024,1,Financial District South,Carroll Gardens,13,3.59,33.31,1.23,433.07,14.21
2024,1,Chinatown,Bedford,13,4.3,32.51,1.23,422.64,36.45
2024,1,East Elmhurst,Co-Op City,13,13.29,68.01,1.15,884.18,23.33
2024,1,Stuyvesant Heights,Downtown Brooklyn/MetroTech,13,3.17,23.42,1,304.5,31.92
2024,1,Two Bridges/Seward Park,East Harlem South,13,6.24,37.54,1.54,488.05,20.69
2024,1,Lenox Hill West,West Concourse,13,5.29,34.34,1.15,446.46,20.13
2024,1,Murray Hill,Bushwick North,13,7.46,51.82,1.54,673.66,30.52
2024,1,Two Bridges/Seward Park,Fort Greene,13,3.63,28.14,1.23,365.83,128.18
2024,1,World Trade Center,Washington Heights South,13,11.99,59.76,1.08,776.81,31.16
2024,1,Washington Heights South,Yorkville East,13,5.96,40.32,1.15,524.09,27.88
2024,1,Astoria,Upper East Side North,13,4.38,33.84,1,439.86,28.31
2024,1,Rosedale,Kips Bay,13,11.69,57.59,1,748.64,51.63
2024,1,East Harlem North,Inwood,13,5.24,29.84,1.08,387.97,15.45
2024,1,Soundview/Castle Hill,Laurelton,13,11.08,54.99,1,714.84,29.64
2024,1,Battery Park,Upper East Side South,13,7.12,44.85,2.15,582.99,27.19
2024,1,Sunnyside,Flushing Meadows-Corona Park,13,5.67,26.54,1.23,345,12.33
2024,1,Central Harlem North,Clinton East,13,5.87,32.97,1.39,428.62,27.08
2024,1,East Elmhurst,East Flatbush/Remsen Village,13,14.88,77.22,1,1003.83,46.19
2024,1,Crown Heights North,Financial District South,13,5.29,28.41,1,369.34,38.85
2024,1,Stuyvesant Heights,Clinton Hill,13,2.17,20,1,260,24.04
2024,1,East Williamsburg,Bushwick South,13,1.79,18.02,1.31,234.29,11.12
2024,1,Lenox Hill East,Coney Island,13,18.3,62.67,1.08,814.72,71.68
2024,1,Garment District,Flushing,13,12.4,70.49,1.39,916.41,42.88
2024,1,Crown Heights North,Kips Bay,13,6.6,32.65,1,424.44,53.28
2024,1,JFK Airport,South Beach/Dongan Hills,13,24.63,116.93,1.62,1520.14,44.45
2024,1,Old Astoria,Lenox Hill East,13,3.2,25.03,1,325.32,22.25
2024,1,Inwood,Washington Heights South,13,2.17,18.84,1.08,244.95,16.11
2024,1,Fort Greene,Brownsville,13,4.65,26.24,1,341.12,39.82
2024,1,Prospect-Lefferts Gardens,Canarsie,13,3.92,23.31,1,303,33.3
2024,1,East Harlem North,TriBeCa/Civic Center,13,5.74,36.65,1,476.44,41.25
2024,1,East New York,Fort Greene,13,5.18,28.45,1.08,369.8,41.95
2024,1,Lenox Hill East,South Ozone Park,13,12.57,57.53,1,747.94,62.38
2024,1,Greenwich Village South,Crown Heights South,13,5.15,39.09,1.23,508.11,28.46
2024,1,Stuy Town/Peter Cooper Village,JFK Airport,13,17.03,94.06,1.46,1222.75,48.34
2024,1,N/A,Central Harlem North,13,4.36,34.5,1.31,448.44,15.9
2024,1,Midtown North,Flushing,13,9.04,51.06,1.23,663.75,43.16
2024,1,Midtown South,Elmhurst,13,6.71,44.94,1.39,584.16,26.82
2024,1,Park Slope,Crown Heights South,13,1.83,18.68,1,242.83,15.29
2024,1,Midtown Center,Flatlands,13,11.98,64.47,1.15,838.1,91.11
2024,1,East Harlem South,Co-Op City,13,9.84,44.58,1.23,579.47,36.3
2024,1,Two Bridges/Seward Park,DUMBO/Vinegar Hill,13,3.26,26.03,1.69,338.42,16.22
2024,1,East Flatbush/Remsen Village,Lenox Hill East,13,10.59,45.41,1,590.38,74.04
2024,1,Carroll Gardens,UN/Turtle Bay South,13,7.3,43.41,1,564.35,26.34
2024,1,Penn Station/Madison Sq West,Maspeth,13,6.67,47.13,1.08,612.66,30.33
2024,1,Murray Hill,Queensbridge/Ravenswood,13,3.13,28.69,1.31,372.92,24.1
2024,1,Brooklyn Heights,East New York,13,7.26,32.62,1,424,56.18
2024,1,Long Island City/Queens Plaza,Jackson Heights,13,3.59,24.46,1.23,318.02,19.71
2024,1,DUMBO/Vinegar Hill,Downtown Brooklyn/MetroTech,13,1,18.55,1.31,241.08,8.35
2024,1,Midtown North,Rego Park,13,8.43,52.65,1.39,684.39,31.7
2024,1,Lincoln Square West,Long Island City/Hunters Point,13,4.13,34.28,1.08,445.68,22.92
2024,1,Manhattanville,Lincoln Square West,13,3.53,27.15,1.08,353,16.92
2024,1,Meatpacking/West Village West,East Williamsburg,13,6.26,45.31,2.08,589.05,32.97
2024,1,Hammels/Arverne,Hammels/Arverne,13,1.82,48.53,1.31,630.85,4.57
2024,1,Flatbush/Ditmas Park,Midwood,13,1.31,22.28,1.31,289.68,14.16
2024,1,Lenox Hill East,Sunset Park West,13,10.33,61.31,1.15,797.01,34.87
2024,1,East Flatbush/Remsen Village,East Flatbush/Remsen Village,13,0.45,23.42,1,304.5,5.54
2024,1,Downtown Brooklyn/MetroTech,Crown Heights South,13,2.82,23.08,1.08,300.08,25.32
2024,1,Gramercy,Windsor Terrace,13,8.61,53.28,1.39,692.64,33.48
2024,1,Alphabet City,Central Harlem North,13,6.19,37.46,1.08,486.99,29.6
2024,1,Kips Bay,Rego Park,13,7.41,50.4,1.23,655.22,28.02
2024,1,Flatiron,Stuyvesant Heights,13,5.99,47.28,1.15,614.62,38.25
2024,1,Hudson Sq,Stuyvesant Heights,13,5.73,42.2,1.46,548.6,34.05
2024,1,Boerum Hill,Clinton Hill,13,1.53,18.19,1.23,236.4,15.01
2024,1,Upper West Side North,Boerum Hill,13,10.37,57.67,1.15,749.7,36.83
2024,1,Murray Hill,Bushwick South,13,7.12,51.27,1.08,666.5,28.21
2024,1,JFK Airport,Country Club,13,18.85,88.38,1.31,1148.97,27.77
2024,1,Meatpacking/West Village West,Stuyvesant Heights,13,7.12,53.4,1.23,694.2,39.79
2024,1,East Village,Sunset Park East,13,10,52.97,1.46,688.54,24.72
2024,1,Clinton East,Flushing,13,12.58,64.54,1.23,838.99,36.14
2024,1,Crown Heights North,Crown Heights South,13,1.65,19.84,1.08,257.95,13.8
2024,1,World Trade Center,Astoria,13,10.63,57.51,1.23,747.56,30.37
2024,1,Lenox Hill West,East Concourse/Concourse Village,13,5.26,32.2,1.08,418.53,25.52
2024,1,UN/Turtle Bay South,Battery Park,13,5.29,30.23,2.08,392.95,14.01
2024,1,Upper East Side North,Bay Ridge,13,13.87,68.65,1,892.45,51.14
2024,1,Kips Bay,South Ozone Park,13,10.11,56.46,1,733.95,52.51
2024,1,Kips Bay,Crown Heights South,13,7.7,40.71,1.23,529.19,52.43
2024,1,Kips Bay,Brownsville,13,8.57,37.67,1,489.65,62.85
2024,1,Midtown South,Brooklyn Navy Yard,13,6.08,43.19,1.31,561.4,29.97
2024,1,East Tremont,Central Harlem North,13,4.97,28.99,1,376.88,36.51
2024,1,East Harlem North,Astoria,13,4.03,28.16,1.31,366.05,12.23
2024,1,Boerum Hill,Carroll Gardens,13,1.35,18.23,1.31,237.01,8.86
2024,1,Williamsburg (North Side),East Village,13,3.23,26.66,1.46,346.58,14.95
2024,1,Hamilton Heights,Penn Station/Madison Sq West,13,7.07,40.66,1.31,528.53,23.02
2024,1,DUMBO/Vinegar Hill,Boerum Hill,13,1.39,16.75,2.08,217.74,11.9
2024,1,Central Harlem North,Sunnyside,13,5.53,33.72,1,438.38,34.05
2024,1,Hamilton Heights,West Concourse,13,1.61,16.65,1.39,216.41,12.97
2024,1,Greenpoint,Long Island City/Hunters Point,13,1.6,15.98,1.39,207.69,7.13
2024,1,Garment District,Middle Village,13,7.21,52.23,1.08,679.04,24.9
2024,1,Upper East Side North,West Concourse,13,4.69,29.71,1.31,386.21,19.29
2024,1,Washington Heights South,Midtown North,13,6.56,36.59,1,475.72,20.02
2024,1,World Trade Center,Morningside Heights,13,8.31,50.12,1.08,651.57,29.95
2024,1,East Harlem North,UN/Turtle Bay South,13,4.39,27.7,1.92,360.11,15.84
