country,iso3,region,year,religion,pct_2010,pct_2020,population_2010,population_2020,diversity_index
Afghanistan,AFG,Asia-Pacific,2020,Buddhism,0,0,28284089,39068979,0.03
Afghanistan,AFG,Asia-Pacific,2020,Christianity,0.1,0,28284089,39068979,0.03
Afghanistan,AFG,Asia-Pacific,2020,Hinduism,0,0,28284089,39068979,0.03
Afghanistan,AFG,Asia-Pacific,2020,Islam,99.7,99.9,28284089,39068979,0.03
Afghanistan,AFG,Asia-Pacific,2020,Judaism,0,0,28284089,39068979,0.03
Afghanistan,AFG,Asia-Pacific,2020,Other Religions,0.1,0.1,28284089,39068979,0.03
Afghanistan,AFG,Asia-Pacific,2020,Unaffiliated,0,0,28284089,39068979,0.03
Albania,ALB,Europe,2020,Buddhism,0,0,2928722,2871954,4.75
Albania,ALB,Europe,2020,Christianity,20.3,17.8,2928722,2871954,4.75
Albania,ALB,Europe,2020,Hinduism,0,0,2928722,2871954,4.75
Albania,ALB,Europe,2020,Islam,70.2,74.5,2928722,2871954,4.75
Albania,ALB,Europe,2020,Judaism,0,0,2928722,2871954,4.75
Albania,ALB,Europe,2020,Other Religions,0,0,2928722,2871954,4.75
Albania,ALB,Europe,2020,Unaffiliated,9.5,7.7,2928722,2871954,4.75
Algeria,DZA,Middle East-North Africa,2020,Buddhism,0,0,36188236,44042091,0.37
Algeria,DZA,Middle East-North Africa,2020,Christianity,0.3,0.3,36188236,44042091,0.37
Algeria,DZA,Middle East-North Africa,2020,Islam,98.6,98.4,36188236,44042091,0.37
Algeria,DZA,Middle East-North Africa,2020,Judaism,0,0,36188236,44042091,0.37
Algeria,DZA,Middle East-North Africa,2020,Other Religions,0,0,36188236,44042091,0.37
Algeria,DZA,Middle East-North Africa,2020,Unaffiliated,1.1,1.3,36188236,44042091,0.37
Angola,AGO,Sub-Saharan Africa,2020,Buddhism,0,0,23294825,33451133,1.52
Angola,AGO,Sub-Saharan Africa,2020,Christianity,91.6,93,23294825,33451133,1.52
Angola,AGO,Sub-Saharan Africa,2020,Hinduism,0,0,23294825,33451133,1.52
Angola,AGO,Sub-Saharan Africa,2020,Islam,0.2,0.3,23294825,33451133,1.52
Angola,AGO,Sub-Saharan Africa,2020,Judaism,0,0,23294825,33451133,1.52
Angola,AGO,Sub-Saharan Africa,2020,Other Religions,3.8,0.6,23294825,33451133,1.52
Angola,AGO,Sub-Saharan Africa,2020,Unaffiliated,4.5,6.1,23294825,33451133,1.52
Argentina,ARG,Latin America-Caribbean,2020,Buddhism,0,0,41288694,45191965,2.44
Argentina,ARG,Latin America-Caribbean,2020,Christianity,88.1,88.5,41288694,45191965,2.44
Argentina,ARG,Latin America-Caribbean,2020,Hinduism,0,0,41288694,45191965,2.44
Argentina,ARG,Latin America-Caribbean,2020,Islam,1,0.9,41288694,45191965,2.44
Argentina,ARG,Latin America-Caribbean,2020,Judaism,0.4,0.4,41288694,45191965,2.44
