pl_name,hostname,discoverymethod,disc_year,pl_rade,pl_bmasse,pl_orbper,st_teff,ra,dec,planet_type
TOI-5789 c,TOI-5789,Transit,,2.53704,,12.9256051,5132,302.7734475,16.1897138,Neptune-like
TOI-5789 c,TOI-5789,Transit,,2.86,5,12.927748,5185,302.7734475,16.1897138,Neptune-like
TOI-1036 b,TOI-1036,Transit,2026,5.98375,,3.7795212,5771,157.8671116,-42.2404483,Jupiter-like
TOI-1036 b,TOI-1036,Transit,2026,6.28499593,,3.77952125496,5664.68,157.8671116,-42.2404483,Jupiter-like
TOI-1080 b,TOI-1080,Transit,2026,1.2305102,,3.9652484554,3296,276.3683249,-52.214573,Earth-like
TOI-1080 b,TOI-1080,Transit,2026,1.2,10.7,3.9652482,3065,276.3683249,-52.214573,Earth-like
TOI-1105 b,TOI-1105,Transit,2026,2.90726,,10.8680523,4664,146.0539694,-89.4715133,Neptune-like
TOI-1105 b,TOI-1105,Transit,2026,3.05823658,,10.86818410933,4678.46,146.0539694,-89.4715133,Neptune-like
TOI-799 b,TOI-799,Transit,2026,2.06631784,,5.54519139676,5662.81,98.4691249,-52.4602958,Neptune-like
TOI-799 b,TOI-799,Transit,2026,1.94480481,,5.54516606202,5643,98.4691249,-52.4602958,Neptune-like
TOI-808 b,TOI-808,Transit,2026,2.20344362,,9.73944854026,5078.2,133.7485497,-44.2886304,Neptune-like
TOI-808 b,TOI-808,Transit,2026,2.26963072,,9.73940894242,5216,133.7485497,-44.2886304,Neptune-like
TOI-697 b,TOI-697,Transit,2026,2.35859364,,8.60788713593,5681.95,69.7042208,-36.6813257,Neptune-like
TOI-697 b,TOI-697,Transit,2026,2.62061412,,8.60786030435,5447,69.7042208,-36.6813257,Neptune-like
TOI-707 b,TOI-707,Transit,2026,2.416,,52.79918,5424,98.7295889,-67.5372743,Neptune-like
TOI-707 b,TOI-707,Transit,2026,2.39827136,,52.79930577089,5409.22,98.7295889,-67.5372743,Neptune-like
TOI-375 b,TOI-375,Transit,2026,10.77183045,236.78216321,9.45469,5259.9,47.1499034,-77.3833275,Jupiter-like
TOI-375 b,TOI-375,Transit,2026,12.76565127,,9.45464777661,5001.6,47.1499034,-77.3833275,Jupiter-like
TOI-159 b,TOI-159,Transit,2026,17.33058674,,3.7628372,6979.2,51.7822676,-78.5498308,Jupiter-like
TOI-159 b,TOI-159,Transit,2026,18.18,1110,3.7628396,7287,51.7822676,-78.5498308,Jupiter-like
TOI-205 b,TOI-205,Transit,2026,2.50121142,,4.25300773815,6302.74,7.9754636,-56.9650808,Neptune-like
TOI-205 b,TOI-205,Transit,2026,2.16979823,,4.25298569407,6222.5,7.9754636,-56.9650808,Neptune-like
TOI-209 b,TOI-209,Transit,2026,2.3947209,,4.37943587445,4806.66,19.3941777,-66.903066,Neptune-like
TOI-209 b,TOI-209,Transit,2026,2.3149088,,4.37942977856,4892,19.3941777,-66.903066,Neptune-like
TOI-4588 b,TOI-4588,Transit,2026,8.28,,13.118966756,7221,282.0004201,48.542256,Jupiter-like
TOI-4588 b,TOI-4588,Transit,2026,8.28,,13.118966756,7221,282.0004201,48.542256,Jupiter-like
TOI-4588 b,TOI-4588,Transit,2026,8.25,,13.118962443,7221,282.0004201,48.542256,Jupiter-like
TOI-4588 b,TOI-4588,Transit,2026,8.28,,13.118966756,7221,282.0004201,48.542256,Jupiter-like
TOI-4588 b,TOI-4588,Transit,2026,6.1,,13.118908,8002,282.0004201,48.542256,Jupiter-like
TOI-4588 b,TOI-4588,Transit,2026,2.92922558,,13.11881173651,7746.12,282.0004201,48.542256,Neptune-like
TOI-4588 b,TOI-4588,Transit,2026,2.98578715,,13.1187745916,7800,282.0004201,48.542256,Neptune-like
TOI-2518 b,TOI-2518,Transit,2026,2.26838675,,6.89797425216,5751.2,105.4448495,-34.9196867,Neptune-like
TOI-2518 b,TOI-2518,Transit,2026,2.18563,,6.8979432,6016,105.4448495,-34.9196867,Neptune-like
