origin_airport,dest_airport,num_tickets,total_passengers,avg_fare,weighted_avg_fare,avg_distance_miles,carrier
SFO,EWR,5476,16509,752.09,473.46,2603.53,UA
LAX,JFK,4276,16455,813.15,482.48,2496.88,DL
EWR,SFO,5406,16423,748.83,471.41,2605.57,UA
JFK,LAX,4243,16268,798.55,478.94,2498.93,DL
ORD,LGA,2886,14701,311.71,207.43,735.81,UA
LGA,ORD,2862,14399,313.23,207.64,735.17,UA
EWR,LAX,4051,14004,654.87,375.09,2473.81,UA
ATL,LGA,3555,13999,342.43,236.25,784.4,DL
LAX,EWR,4088,13962,661.33,378.11,2476.65,UA
LGA,ATL,3446,13642,342.87,236.13,781.92,DL
HNL,OGG,968,13563,106.63,86.26,108.35,HA
OGG,HNL,1010,13486,95.75,83.94,100.0,HA
ORD,SFO,3269,11728,427.02,274.29,1893.66,UA
SFO,ORD,3311,11715,431.21,279.42,1894.83,UA
MIA,LGA,2767,11209,335.69,223.46,1112.39,AA
EWR,MCO,2137,11072,313.38,203.68,946.88,UA
MCO,EWR,2143,10977,317.08,205.68,948.56,UA
LAX,JFK,2246,10907,581.84,392.87,2483.11,B6
SMF,SAN,1945,10820,176.14,136.7,484.8,WN
SAN,SMF,1939,10761,175.49,136.72,482.4,WN
LGA,MIA,2718,10746,337.7,220.25,1107.58,AA
HNL,KOA,1059,10573,115.97,86.04,174.81,HA
JFK,LAX,2146,10363,583.55,384.99,2483.88,B6
KOA,HNL,1100,10313,115.58,85.16,173.53,HA
HNL,LIH,753,10199,98.2,84.24,102.0,HA
SJC,SAN,2065,10060,160.14,124.62,420.74,WN
SAN,SJC,2032,10019,160.59,125.71,420.59,WN
HNL,ITO,1152,9932,117.31,92.7,217.37,HA
LIH,HNL,782,9884,103.21,84.44,115.23,HA
DFW,LGA,2432,9713,373.28,255.71,1404.13,AA
DFW,LAX,2095,9593,343.27,223.88,1249.64,AA
LAX,DFW,2081,9512,343.75,226.36,1259.03,AA
LGA,DFW,2411,9437,386.49,258.32,1404.34,AA
ORD,EWR,2686,9391,327.63,244.72,739.74,UA
EWR,ORD,2648,9348,330.44,246.08,734.63,UA
JFK,SFO,2986,9272,688.57,473.38,2609.53,DL
ITO,HNL,945,9240,118.4,92.43,217.77,HA
SFO,JFK,2966,9171,692.81,482.53,2608.95,DL
PHX,DEN,2308,9126,185.3,137.38,612.41,WN
DFW,ORD,2127,9050,291.13,211.44,832.22,AA
ORD,DFW,2160,9020,303.76,215.02,822.24,AA
DEN,PHX,2273,8975,183.91,136.26,611.54,WN
ATL,FLL,1658,8596,255.89,172.61,582.47,DL
MCO,PHL,1708,8539,310.28,221.47,869.94,AA
ATL,BOS,2226,8524,377.23,255.89,964.0,DL
PHL,MCO,1646,8438,297.58,217.4,871.29,AA
BOS,ATL,2191,8401,380.48,256.48,967.47,DL
MCO,JFK,1548,8397,246.81,189.3,947.91,B6
SAN,SEA,1841,8394,235.78,185.84,1056.77,AS
ORD,LGA,2059,8366,279.83,193.0,740.92,AA
SEA,SAN,1865,8352,236.17,184.4,1061.18,AS
IAD,LAX,2576,8336,435.44,296.22,2305.28,UA
LAX,IAD,2540,8334,433.98,293.29,2312.68,UA
JFK,MCO,1495,8300,232.39,180.13,948.43,B6
FLL,ATL,1533,8298,263.0,175.17,583.65,DL
LAS,OAK,1956,8236,169.12,125.54,422.08,WN
OAK,LAS,1944,8236,164.95,120.47,420.77,WN
SEA,SFO,2070,8161,225.23,170.75,688.43,AS
SFO,SEA,2033,8137,223.14,171.74,684.42,AS
LGA,ORD,2092,8135,273.37,190.76,738.78,AA
SJU,JFK,1550,8074,279.68,195.04,1606.39,B6
LAX,ORD,2428,8057,383.01,270.57,1779.33,UA
SAN,LAS,1168,7983,141.7,89.64,259.74,WN
MCO,DTW,1307,7966,339.94,210.42,968.22,DL
ORD,LAX,2430,7950,377.45,269.24,1773.08,UA
DTW,MCO,1280,7915,335.52,208.24,967.19,DL
DEN,ORD,2066,7913,295.61,210.7,930.13,UA
LAS,SAN,1197,7889,144.97,93.49,259.13,WN
MCO,LGA,2018,7882,280.26,190.44,956.42,DL
JFK,SJU,1453,7873,252.75,188.01,1608.2,B6
SEA,LAX,1656,7854,228.84,173.99,960.8,AS
