origin_airport,dest_airport,num_tickets,total_passengers,avg_fare,weighted_avg_fare,avg_distance_miles,carrier
SEA,PHX,1616,7831,247.29,166.7,1110.77,AS
PHX,SEA,1652,7824,249.01,173.34,1113.69,AS
LGA,MCO,1936,7812,276.93,187.59,954.98,DL
BWI,MCO,2144,7763,236.94,186.1,806.18,WN
SJC,LAS,1754,7736,177.56,132.29,399.53,WN
ORD,DEN,2003,7713,296.16,210.64,926.9,UA
DFW,MCO,1760,7713,296.68,234.22,1004.7,AA
LAX,SEA,1584,7707,228.92,177.1,959.52,AS
MIA,DCA,1830,7707,283.35,199.85,938.37,AA
PBI,EWR,2026,7707,354.16,221.41,1026.85,UA
MCO,DFW,1778,7698,308.6,239.5,1009.35,AA
LAX,HNL,2141,7696,377.63,269.58,2566.67,HA
LAS,SJC,1758,7678,181.07,137.78,397.39,WN
EWR,LAS,2525,7661,478.73,327.64,2250.45,UA
LAS,EWR,2605,7658,481.75,333.33,2252.4,UA
MCO,BWI,2114,7639,240.92,191.07,819.09,WN
DCA,MIA,1779,7632,290.49,197.66,927.08,AA
ATL,LAX,2327,7628,538.3,360.8,1991.84,DL
SMF,LAS,1635,7578,162.52,112.59,410.12,WN
LAX,ATL,2318,7575,538.46,361.76,1993.87,DL
MIA,LAX,2143,7572,486.09,346.68,2377.13,AA
LAS,SMF,1640,7556,163.25,115.12,411.94,WN
LAS,SEA,1488,7553,241.72,170.95,871.7,AS
IAH,LGA,2493,7482,364.89,253.66,1422.12,UA
MCO,BOS,1496,7479,276.17,226.96,1126.18,B6
LAX,MIA,2148,7424,472.58,340.61,2371.9,AA
EWR,FLL,2035,7414,315.61,208.6,1070.91,UA
HNL,LAX,2105,7408,381.1,271.35,2575.5,HA
FLL,EWR,2088,7399,319.73,212.29,1073.86,UA
SEA,LAS,1503,7385,242.03,167.72,874.43,AS
ATL,MCO,1714,7376,282.17,204.64,405.24,DL
IAD,SFO,3226,7351,521.0,400.92,2459.83,UA
EWR,PBI,1973,7345,340.17,213.86,1028.33,UA
SEA,SNA,1814,7333,235.49,183.56,981.68,AS
LAX,ORD,1953,7333,347.57,235.37,1779.95,AA
LAX,PHL,2453,7316,432.69,325.81,2421.13,AA
SNA,SEA,1791,7296,239.95,187.45,983.42,AS
ORD,BOS,1920,7285,259.06,184.02,874.32,UA
LAS,DEN,1957,7285,177.44,131.4,642.15,WN
LGA,IAH,2448,7262,364.59,251.82,1424.66,UA
ORD,LAX,1937,7255,345.27,233.22,1776.88,AA
LGA,MIA,2149,7253,314.53,209.69,1100.93,DL
BOS,MCO,1421,7242,262.77,221.85,1125.37,B6
MIA,LGA,2149,7242,317.99,216.0,1104.38,DL
MCO,ATL,1629,7240,291.2,208.63,405.46,DL
SFO,LAX,1288,7173,210.91,145.28,342.04,UA
LAX,SFO,1315,7167,213.9,146.64,341.19,UA
PHL,LAX,2407,7158,429.31,321.53,2421.5,AA
LAS,DFW,1741,7127,375.21,246.09,1065.96,AA
SAN,OAK,1641,7082,168.58,135.72,447.49,WN
DEN,LAS,1967,7079,176.43,127.87,646.17,WN
ATL,MIA,1579,7077,276.3,190.59,595.17,DL
MCO,SJU,901,7051,213.34,196.51,1192.62,B6
DEN,SFO,2201,7046,298.18,223.61,991.52,UA
OAK,SAN,1633,7043,165.85,133.35,449.21,WN
DEN,DAL,1957,7039,181.09,135.25,660.05,WN
FLL,JFK,1508,7038,247.69,193.16,1074.79,B6
ORD,DCA,1665,7029,261.02,201.38,613.65,UA
PHX,DFW,1762,7016,306.05,236.12,898.61,AA
DFW,LAS,1647,7005,344.71,232.34,1065.42,AA
SFO,IAD,3180,6993,514.22,396.41,2455.97,UA
DCA,ORD,1692,6991,262.25,202.96,612.57,UA
DFW,PHX,1764,6968,305.02,233.63,894.08,AA
BOS,ORD,1887,6965,256.19,185.09,877.37,UA
SJU,MCO,914,6945,216.47,197.49,1206.62,B6
MCO,MDW,2170,6945,204.02,159.91,1005.45,WN
PHX,MDW,2092,6920,213.11,165.98,1459.2,WN
DAL,DEN,1995,6904,180.22,134.07,662.42,WN
SFO,DEN,2179,6888,303.2,228.1,999.48,UA
JFK,FLL,1526,6888,231.13,182.88,1080.92,B6
PHX,ORD,1668,6874,298.85,222.91,1472.51,AA
IAH,ORD,2076,6833,305.99,239.48,965.77,UA
MDW,MCO,2114,6825,203.94,158.32,1004.21,WN
MIA,ATL,1557,6817,282.3,194.76,596.86,DL
ORD,PHL,1757,6802,295.6,223.15,690.02,AA
SFO,SAN,1496,6798,194.59,121.65,448.0,UA
ATL,DCA,1802,6793,275.2,210.54,559.32,DL
ORD,IAH,2063,6764,304.58,239.19,964.54,UA
SFO,JFK,1621,6748,629.49,390.28,2604.82,B6
SAN,SFO,1514,6735,192.23,126.91,447.65,UA
JFK,SFO,1623,6688,618.6,379.91,2597.78,B6
BOS,DCA,2384,6677,234.5,191.08,399.72,YX
PHL,ORD,1696,6673,278.02,215.03,687.65,AA
OAK,BUR,1464,6624,176.84,136.29,326.62,WN
BUR,OAK,1472,6617,177.96,136.59,326.72,WN
DFW,SFO,2049,6617,335.24,248.26,1473.42,AA
DFW,PHL,2428,6590,378.85,296.0,1324.16,AA
DCA,ATL,1713,6580,277.79,208.28,552.97,DL
SFO,DFW,2062,6571,344.19,250.5,1481.73,AA
ORD,PHX,1635,6543,301.09,219.13,1462.9,AA
EWR,MIA,2164,6543,312.58,220.87,1093.87,UA
JFK,LAS,2075,6535,480.6,319.93,2263.94,DL
BOS,DFW,2103,6512,351.94,259.06,1577.19,AA
DFW,BOS,2110,6501,348.12,260.34,1575.96,AA
LAS,JFK,2063,6478,486.95,330.05,2261.88,DL
DCA,BOS,2371,6477,233.69,191.67,399.02,YX
MIA,EWR,2174,6449,315.32,221.74,1100.54,UA
MDW,PHX,2041,6447,209.56,163.69,1454.38,WN
PHL,DFW,2404,6423,380.66,298.93,1332.02,AA
TPA,EWR,1868,6422,285.97,198.41,1007.46,UA
FLL,LGA,1835,6416,295.9,204.51,1092.45,DL
EWR,TPA,1847,6386,277.67,192.78,1004.15,UA
JFK,LAX,2520,6376,870.2,587.95,2490.05,AA
LAX,IAH,1844,6372,316.14,227.51,1410.02,UA
LAX,BOS,1839,6361,462.03,342.99,2617.88,B6
SFO,BOS,2897,6339,488.91,365.88,2725.77,UA
LAX,JFK,2460,6320,863.14,601.66,2490.05,AA
ATL,PHL,1769,6308,283.07,220.82,669.69,DL
MIA,ORD,1734,6308,322.24,238.43,1221.64,AA
BOS,LGA,2581,6291,290.62,246.17,184.06,YX
BOS,SFO,2886,6255,486.14,365.34,2732.68,UA
SFO,HNL,1932,6249,458.46,333.09,2416.26,UA
IAH,LAX,1868,6243,320.58,233.05,1397.59,UA
DTW,LGA,1891,6195,286.16,208.9,506.3,DL
HNL,LAX,1793,6185,394.87,288.34,2572.21,UA
BOS,LAX,1807,6180,453.45,324.18,2615.73,B6
LAS,ATL,1762,6151,544.91,356.98,1768.83,DL
ATL,LAS,1764,6148,537.34,355.68,1771.02,DL
LGA,BOS,2504,6145,289.74,246.93,184.02,YX
LGA,DTW,1934,6141,286.39,210.37,505.24,DL
IAH,DEN,1755,6139,313.88,233.94,891.7,UA
ORD,MIA,1737,6136,334.27,235.04,1217.61,AA
LGA,FLL,1790,6127,292.25,200.31,1084.74,DL
DEN,IAH,1731,6118,307.27,230.69,889.63,UA
HNL,SFO,1887,6097,448.35,327.96,2428.02,UA
LAX,HNL,1829,6074,396.94,294.38,2565.87,UA
ATL,ORD,1840,6072,274.1,213.75,613.55,DL
MDW,LAS,2114,6063,216.46,168.7,1532.71,WN
PHL,ATL,1696,6055,284.43,217.85,673.84,DL
LAS,MDW,2089,6055,219.29,173.7,1530.89,WN
CLT,LGA,1949,6049,261.09,193.0,552.79,AA
ORD,ATL,1863,5999,275.55,214.09,611.23,DL
MDW,LGA,2049,5998,195.67,149.08,731.5,WN
ATL,DTW,1583,5997,312.07,226.34,630.43,DL
MCO,MSP,1159,5983,329.16,204.56,1324.29,DL
MCO,ORD,1518,5976,295.55,211.63,1024.95,UA
ATL,EWR,1529,5960,262.33,207.03,754.27,DL
EWR,IAH,2380,5955,360.37,274.86,1444.14,UA
DTW,ATL,1549,5953,312.54,226.67,635.8,DL
DCA,DFW,2183,5941,341.96,277.81,1214.15,AA
LGA,MDW,1985,5934,198.84,149.72,734.54,WN
PHL,MCO,1022,5924,107.96,94.4,878.86,F9
MCO,PHL,1011,5921,109.23,96.37,867.43,F9
ORD,MCO,1467,5914,287.14,207.74,1015.86,UA
DFW,DCA,2117,5904,329.95,273.2,1216.26,AA
IAH,EWR,2396,5893,356.42,277.89,1429.6,UA
LGA,CLT,1946,5885,275.73,198.4,547.55,AA
DEN,ATL,1215,5876,307.23,210.07,1217.43,DL
DFW,DEN,1360,5856,238.36,174.18,645.36,AA
MIA,JFK,1613,5846,312.46,204.77,1099.52,AA
MSP,MCO,1148,5834,325.44,201.65,1322.82,DL
DFW,CLT,2134,5833,360.25,268.76,982.97,AA
SLC,LAX,1289,5822,239.96,169.83,597.67,DL
HNL,OGG,776,5817,82.01,72.9,104.93,WN
LGA,TPA,1702,5803,267.62,182.2,1017.28,DL
TPA,LGA,1728,5799,277.02,187.92,1019.21,DL
LAS,LAX,1185,5794,133.33,97.65,236.1,WN
CLT,DFW,2123,5791,359.84,268.4,988.01,AA
ATL,DEN,1234,5789,311.33,211.88,1223.93,DL
IAD,DEN,2048,5787,372.7,270.16,1492.63,UA
DEN,IAD,2070,5780,367.05,269.46,1492.67,UA
DEN,EWR,2141,5773,397.05,286.33,1655.28,UA
LAS,HNL,1500,5758,494.18,330.75,2778.6,HA
PHX,LAS,1296,5750,189.74,144.63,257.0,WN
PHX,MSP,1562,5743,334.42,223.97,1291.39,DL
EWR,DEN,2171,5737,399.16,288.21,1654.21,UA
OGG,HNL,936,5737,69.74,69.82,100.0,WN
LAX,LAS,1187,5734,130.3,93.0,236.02,WN
ATL,DFW,2151,5731,295.15,234.17,735.05,DL
LAX,SLC,1288,5728,239.95,171.33,595.96,DL
PBI,LGA,1754,5726,356.07,233.14,1053.37,DL
HNL,LAS,1449,5722,473.25,321.8,2772.84,HA
SFO,IAH,2062,5719,408.36,328.75,1678.36,UA
DEN,DFW,1410,5716,251.71,178.0,643.15,AA
LAS,PHX,1282,5700,192.22,147.14,255.93,WN
SMF,BUR,1191,5686,175.62,149.91,359.5,WN
BUR,SMF,1189,5683,176.71,150.28,358.55,WN
DEN,MDW,1983,5680,172.86,131.07,915.37,WN
IAH,SFO,2052,5679,404.19,326.65,1657.92,UA
MDW,DEN,1987,5672,170.12,130.61,903.09,WN
BOS,DEN,1895,5662,333.22,242.37,1772.57,UA
SEA,SJC,1616,5654,235.77,186.51,700.26,AS
DAL,MDW,1921,5649,192.33,151.55,812.78,WN
MDW,DAL,1871,5635,193.57,150.86,809.3,WN
LGA,ORD,1970,5622,284.38,224.93,736.88,DL
DEN,BOS,1938,5620,344.87,251.01,1774.09,UA
SFO,BOS,1659,5612,486.03,380.38,2713.64,B6
PHX,DAL,1754,5610,206.16,165.04,893.94,WN
SJC,SEA,1597,5602,235.92,186.25,696.75,AS
ATL,TPA,1521,5601,270.87,214.33,408.42,DL
FLL,DTW,1313,5598,305.58,196.49,1135.42,DL
DAL,PHX,1737,5591,203.95,166.51,893.46,WN
LAS,DAL,1905,5591,226.2,170.14,1076.0,WN
DCA,LGA,2218,5581,239.61,200.7,215.85,YX
DAL,LAS,1897,5578,223.31,169.46,1073.98,WN
AUS,DEN,1663,5574,184.21,143.0,787.42,WN
DCA,BOS,1083,5543,228.36,184.1,399.02,B6
LAX,MCO,1788,5541,426.04,296.1,2239.62,DL
EWR,ATL,1425,5539,266.31,207.57,754.79,DL
PHX,SAN,1456,5526,182.86,138.02,305.72,WN
LGA,DCA,2191,5521,233.05,195.48,214.16,YX
DTW,FLL,1308,5520,298.1,190.4,1135.32,DL
LAS,MSP,1092,5480,338.28,203.08,1318.82,DL
DFW,ATL,2084,5475,299.73,235.15,738.5,DL
LGA,PBI,1786,5467,355.5,229.54,1044.76,DL
JFK,MIA,1528,5462,285.59,195.65,1094.15,AA
TPA,ATL,1461,5453,274.8,212.65,409.32,DL
SAN,PHX,1439,5442,183.04,137.79,305.6,WN
MSP,LAS,1084,5429,329.63,199.01,1307.96,DL
MCO,LAX,1755,5421,417.6,291.31,2238.56,DL
DEN,AUS,1638,5413,185.5,143.88,791.29,WN
SFO,LAX,934,5410,186.8,128.3,337.69,DL
LAX,SFO,952,5403,195.02,131.35,337.0,DL
SJC,SNA,1347,5401,224.58,198.84,344.17,WN
ORD,LGA,1807,5392,288.62,224.5,742.61,DL
BOS,SFO,1636,5376,492.36,361.65,2713.94,B6
MSP,PHX,1480,5363,321.83,215.13,1284.9,DL
LAS,DTW,1348,5361,422.22,272.49,1762.27,DL
DAL,MCO,1875,5360,225.19,179.4,987.19,WN
TPA,DTW,1184,5360,301.18,197.82,995.61,DL
PHX,OAK,1775,5335,175.33,139.11,654.72,WN
DFW,MIA,1943,5333,339.48,269.0,1144.22,AA
BOS,DCA,1039,5332,213.76,174.95,399.07,B6
DTW,LAS,1330,5315,417.61,267.12,1761.77,DL
OAK,PHX,1730,5298,173.97,136.96,653.73,WN
BNA,MCO,1608,5294,242.81,199.66,631.41,WN
MIA,DFW,1962,5292,373.6,284.56,1147.37,AA
AUS,LAS,1528,5277,216.4,155.61,1102.47,WN
SEA,BUR,1105,5277,241.96,183.24,939.45,AS
MCO,DAL,1910,5270,226.93,181.97,990.54,WN
BUR,SEA,1093,5260,241.34,184.36,940.19,AS
SNA,SJC,1328,5258,223.28,198.9,342.83,WN
SJC,LAX,958,5246,159.24,120.71,311.79,WN
DTW,TPA,1180,5230,299.15,194.64,997.73,DL
LAS,SFO,1343,5219,242.58,173.8,419.49,UA
FLL,LAX,1118,5214,578.48,352.49,2349.48,B6
MCO,BNA,1606,5213,246.21,201.86,640.86,WN
PBI,HPN,1214,5213,312.6,243.57,1056.78,B6
SEA,ORD,1223,5208,271.06,201.94,1731.79,AS
LAS,AUS,1497,5195,219.51,159.15,1105.16,WN
MIA,BOS,1524,5177,302.38,217.72,1270.5,AA
LAX,SEA,1071,5174,254.18,181.06,960.51,DL
DAL,HOU,1423,5171,192.55,167.49,240.46,WN
CLT,ORD,1500,5141,263.08,204.81,616.07,AA
JFK,MCO,1370,5140,267.43,183.99,947.13,DL
FLL,ATL,773,5139,99.31,76.87,590.41,NK
LAX,FLL,1104,5136,584.32,353.4,2356.25,B6
HOU,DAL,1441,5132,192.2,168.0,240.69,WN
ATL,FLL,789,5128,98.55,73.89,586.39,NK
SFO,JFK,1889,5114,381.7,304.08,2599.36,AS
PHX,PHL,1830,5114,392.62,307.25,2102.98,AA
JFK,SFO,1892,5113,388.44,308.48,2601.68,AS
SAN,SFO,1223,5110,147.47,102.75,449.19,WN
LAX,PDX,1233,5099,195.97,149.5,837.41,AS
IAH,MCO,1303,5099,269.5,206.76,856.5,UA
SAN,PDX,983,5096,234.02,184.78,936.19,AS
IAD,MCO,1360,5095,253.4,183.1,760.05,UA
PBI,BOS,1217,5091,254.48,216.48,1201.82,B6
PDX,LAX,1200,5091,196.04,147.41,837.09,AS
DFW,SAN,1537,5081,318.62,233.15,1175.42,AA
ORD,SEA,1222,5079,277.53,204.78,1733.21,AS
SEA,LAX,1040,5079,254.0,180.36,961.92,DL
FLL,BOS,1374,5073,240.18,202.4,1243.78,B6
SFO,SAN,1248,5065,148.95,104.39,451.26,WN
MCO,STL,1747,5062,247.49,202.17,925.3,WN
TPA,PHL,1510,5057,283.57,222.0,929.24,AA
SEA,DFW,1536,5053,314.77,228.88,1680.82,AA
PDX,SAN,969,5052,232.23,182.61,940.81,AS
RSW,EWR,1700,5041,317.81,221.23,1073.25,UA
LAS,PHL,1790,5038,412.44,324.87,2200.23,AA
MCO,IAD,1373,5038,255.15,184.8,763.97,UA
PHL,BOS,1643,5024,252.86,195.02,280.14,AA
ORD,CLT,1480,5023,273.0,207.28,620.57,AA
ORD,MCO,1278,5019,257.36,192.63,1017.69,AA
TPA,MDW,1752,5019,189.15,150.82,1020.32,WN
DFW,SEA,1532,5011,309.38,230.35,1692.72,AA
HOU,MDW,2023,5005,194.91,165.95,957.95,WN
DEN,MSP,925,5004,227.13,156.1,681.64,DL
MCO,IAH,1294,5003,268.51,208.35,855.12,UA
SFO,LAS,1284,5002,240.76,171.4,419.17,UA
BUR,LAS,1346,4998,185.66,148.56,223.16,WN
BOS,MIA,1485,4994,311.83,208.71,1272.18,AA
SAN,DFW,1552,4993,329.4,234.61,1187.09,AA
TPA,BOS,1041,4993,251.52,200.23,1185.56,B6
DEN,LAX,1390,4980,253.0,188.04,868.93,UA
LAX,DTW,1691,4978,469.15,340.05,2024.56,DL
BUR,SJC,1337,4969,179.03,142.05,298.22,WN
MCO,ORD,1335,4969,270.32,199.4,1018.14,AA
MSP,DEN,935,4968,228.94,155.25,682.58,DL
STL,MCO,1725,4966,250.18,202.45,921.89,WN
BOS,TPA,996,4965,235.41,190.74,1185.55,B6
DEN,LGA,2058,4954,386.84,285.7,1630.35,UA
SJC,BUR,1325,4952,177.92,138.84,299.5,WN
FLL,LGA,1466,4950,231.45,195.44,1080.03,B6
LAS,ORD,1573,4947,375.44,260.57,1534.79,UA
ATL,LGA,1367,4947,164.88,133.77,810.13,WN
LAX,MSP,1392,4944,403.11,272.35,1585.63,DL
LAS,JFK,1538,4934,480.39,347.34,2257.34,B6
DTW,LAX,1697,4930,467.52,340.7,2033.0,DL
SNA,SMF,1219,4929,224.23,202.42,406.19,WN
SNA,OAK,1374,4923,197.09,167.39,371.52,WN
PHL,PHX,1756,4910,379.66,299.23,2104.98,AA
MDW,HOU,1997,4907,194.26,161.71,961.13,WN
LAS,BUR,1357,4906,186.36,154.97,223.09,WN
RSW,BOS,1112,4904,269.89,221.77,1250.85,B6
MDW,TPA,1776,4900,187.34,148.33,1006.97,WN
ORD,LAS,1549,4894,374.11,257.51,1530.02,UA
LGA,ATL,1372,4894,167.6,133.73,854.57,WN
BOS,FLL,1275,4888,221.51,191.39,1240.94,B6
SMF,SNA,1220,4881,225.23,202.07,405.68,WN
OAK,SNA,1364,4873,198.13,165.39,374.29,WN
EWR,RSW,1667,4871,315.61,220.52,1077.77,UA
RNO,LAS,1418,4862,201.61,188.35,349.36,WN
DFW,ATL,1289,4860,260.34,211.88,741.88,AA
MCO,SJU,1090,4860,205.9,180.34,1191.26,WN
JFK,LAS,1435,4856,449.75,325.45,2253.03,B6
LAX,SJC,930,4851,159.98,122.96,312.58,WN
LAX,DEN,1383,4832,254.44,189.67,878.54,UA
PHL,TPA,1459,4830,289.3,217.83,930.65,AA
LAS,IAH,1347,4826,388.79,258.86,1235.96,UA
MSP,LAX,1344,4809,398.36,266.86,1570.62,DL
IAH,LAS,1368,4808,375.78,254.33,1232.04,UA
LGA,DEN,1987,4799,382.42,285.71,1627.6,UA
LAS,RNO,1407,4792,203.59,189.68,348.57,WN
LGA,FLL,1435,4783,225.36,186.09,1078.7,B6
BOS,PHL,1637,4779,253.6,195.95,281.01,AA
HOU,DEN,1720,4770,198.46,159.25,903.32,WN
TPA,BWI,1609,4770,231.0,180.98,862.46,WN
BWI,TPA,1684,4769,224.61,180.86,856.97,WN
PHL,LAS,1632,4767,379.01,304.87,2196.92,AA
LAS,LGB,1139,4766,131.66,100.29,231.05,WN
MIA,PHL,1623,4756,341.67,269.3,1030.1,AA
SJU,MCO,1096,4745,205.48,182.13,1199.45,WN
ATL,DFW,1305,4745,279.85,222.62,732.59,AA
DEN,HOU,1720,4744,197.49,159.25,896.93,WN
ATL,SEA,1516,4723,438.75,328.9,2248.74,DL
MCO,JFK,1305,4722,275.37,189.98,947.72,DL
FLL,JFK,1193,4717,285.64,191.92,1079.31,DL
SEA,ATL,1500,4709,433.21,323.34,2242.22,DL
BWI,BOS,1398,4697,191.74,158.57,369.04,WN
MCO,BOS,1235,4685,340.81,232.16,1136.96,DL
BOS,BWI,1396,4681,189.15,153.98,369.01,WN
DFW,LGA,1669,4677,369.59,270.98,1394.73,DL
MCO,SJU,643,4676,125.35,113.94,1212.33,F9
LGB,LAS,1115,4674,128.7,97.05,231.05,WN
LGA,MSP,1879,4664,371.41,294.9,1031.58,DL
SEA,JFK,1615,4651,410.52,309.98,2441.85,AS
MSP,LGA,1869,4648,371.04,292.4,1030.16,DL
SMF,LGB,1076,4638,164.91,126.68,389.1,WN
ATL,SFO,1930,4635,473.6,365.96,2172.01,DL
JFK,SEA,1612,4630,414.07,310.88,2445.72,AS
MCO,DEN,1439,4630,336.09,253.5,1568.03,UA
PHX,LAX,1225,4627,154.39,115.93,374.86,WN
HOU,LAS,1609,4625,220.19,169.32,1247.0,WN
DEN,SEA,1119,4607,230.94,179.84,1030.4,AS
SFO,ATL,1950,4604,473.08,362.68,2166.46,DL
PHX,SEA,1068,4604,239.39,172.39,1116.59,DL
SJU,MCO,634,4600,124.5,113.46,1227.03,F9
SFO,ORD,1459,4600,296.37,223.85,1873.46,AA
MSP,BOS,1249,4597,422.9,319.79,1137.91,DL
DEN,SAN,1344,4595,198.53,147.98,861.12,WN
BOS,PBI,1125,4594,241.02,202.65,1198.99,B6
ORD,SFO,1484,4588,291.37,218.78,1870.53,AA
MCO,EWR,1083,4580,146.78,106.1,984.55,NK
MCO,PIT,1382,4578,241.99,194.15,855.98,WN
DEN,MCO,1436,4575,329.0,249.2,1559.66,UA
LAS,HOU,1634,4572,224.03,170.99,1250.95,WN
PDX,SNA,1091,4568,233.96,180.57,863.8,AS
SEA,ANC,1281,4566,349.2,255.96,1453.94,AS
HPN,PBI,1181,4565,300.33,237.36,1056.87,B6
SMF,ONT,1147,4565,203.25,184.66,394.48,WN
PIT,MCO,1381,4564,242.64,193.76,858.14,WN
SNA,PDX,1092,4563,235.21,184.36,862.94,AS
ONT,SMF,1146,4563,202.14,184.86,390.84,WN
SJU,FLL,774,4555,195.06,162.76,1046.14,B6
SMF,LAX,1125,4555,162.37,125.65,376.15,WN
LGB,SMF,1083,4554,166.01,127.8,389.85,WN
PHL,MIA,1554,4545,331.98,260.08,1025.88,AA
LAS,PDX,992,4537,226.13,159.95,769.47,AS
LGA,DFW,1545,4537,363.85,259.11,1394.62,DL
SAN,DEN,1322,4536,197.62,147.08,862.15,WN
JFK,SEA,1452,4534,488.36,342.35,2453.88,DL
BOS,MSP,1229,4532,429.43,318.55,1145.95,DL
MCO,EWR,1031,4518,232.36,192.46,937.02,B6
BOS,ORD,1572,4508,220.24,165.77,875.73,AA
PDX,LAS,973,4505,222.96,154.75,770.27,AS
SEA,DEN,1066,4500,232.93,176.63,1026.97,AS
LAX,PHX,1218,4488,150.66,112.47,372.21,WN
CLT,LAX,1742,4480,378.45,280.98,2146.96,AA
LAX,BOS,1847,4479,496.35,372.57,2632.46,DL
JFK,AUS,1691,4476,427.14,323.73,1536.85,DL
FLL,SJU,764,4470,195.91,166.17,1046.09,B6
EWR,MCO,1049,4470,137.62,101.24,987.18,NK
OAK,LAX,1096,4467,177.72,150.36,338.82,WN
BOS,MCO,1210,4467,336.4,230.78,1131.45,DL
ORD,BOS,1609,4453,223.72,172.82,875.64,AA
BOS,LAX,1825,4450,488.47,361.56,2645.63,DL
IAH,BOS,1704,4447,368.54,286.32,1605.68,UA
PDX,PHX,1197,4443,223.48,164.48,1015.6,AS
PHX,BOS,1885,4436,399.88,299.81,2314.15,AA
DTW,MCO,886,4434,111.76,85.63,978.55,NK
