airport_code,airport_name,city,country,latitude,longitude,altitude
GKA,"Goroka Airport","Goroka","Papua New Guinea",-6.081689834590001,145.391998291,5282
MAG,"Madang Airport","Madang","Papua New Guinea",-5.20707988739,145.789001465,20
HGU,"Mount Hagen Kagamuga Airport","Mount Hagen","Papua New Guinea",-5.826789855957031,144.29600524902344,5388
LAE,"Nadzab Airport","Nadzab","Papua New Guinea",-6.569803,146.725977,239
POM,"Port Moresby Jacksons International Airport","Port Moresby","Papua New Guinea",-9.443380355834961,147.22000122070312,146
WWK,"Wewak International Airport","Wewak","Papua New Guinea",-3.58383011818,143.669006348,19
UAK,"Narsarsuaq Airport","Narssarssuaq","Greenland",61.1604995728,-45.4259986877,112
GOH,"Godthaab / Nuuk Airport","Godthaab","Greenland",64.19090271,-51.6781005859,283
SFJ,"Kangerlussuaq Airport","Sondrestrom","Greenland",67.0122218992,-50.7116031647,165
THU,"Thule Air Base","Thule","Greenland",76.5311965942,-68.7032012939,251
AEY,"Akureyri Airport","Akureyri","Iceland",65.66000366210938,-18.07270050048828,6
EGS,"Egilsstaðir Airport","Egilsstadir","Iceland",65.2833023071289,-14.401399612426758,76
HFN,"Hornafjörður Airport","Hofn","Iceland",64.295601,-15.2272,24
HZK,"Húsavík Airport","Husavik","Iceland",65.952301,-17.426001,48
IFJ,"Ísafjörður Airport","Isafjordur","Iceland",66.05809783935547,-23.135299682617188,8
KEF,"Keflavik International Airport","Keflavik","Iceland",63.985000610352,-22.605600357056,171
PFJ,"Patreksfjörður Airport","Patreksfjordur","Iceland",65.555801,-23.965,11
RKV,"Reykjavik Airport","Reykjavik","Iceland",64.1299972534,-21.9405994415,48
SIJ,"Siglufjörður Airport","Siglufjordur","Iceland",66.133301,-18.9167,10
VEY,"Vestmannaeyjar Airport","Vestmannaeyjar","Iceland",63.42430114746094,-20.278900146484375,326
YAM,"Sault Ste Marie Airport","Sault Sainte Marie","Canada",46.48500061035156,-84.5093994140625,630
YAY,"St. Anthony Airport","St. Anthony","Canada",51.3918991089,-56.083099365200006,108
YAZ,"Tofino / Long Beach Airport","Tofino","Canada",49.079833,-125.775583,80
YBB,"Kugaaruk Airport","Pelly Bay","Canada",68.534401,-89.808098,56
YBC,"Baie Comeau Airport","Baie Comeau","Canada",49.13249969482422,-68.20439910888672,71
YBG,"CFB Bagotville","Bagotville","Canada",48.33060073852539,-70.99639892578125,522
YBK,"Baker Lake Airport","Baker Lake","Canada",64.29889678960001,-96.077796936,59
YBL,"Campbell River Airport","Campbell River","Canada",49.950801849365234,-125.27100372314453,346
