match_id,minute,team,player,location_x,location_y,shot_type,shot_body_part,xg,goal,technique
3857274,26,Ecuador,Michael Steveen Estrada Martínez,112.1,34.6,Open Play,Left Foot,0.069653474,,Backheel
3857274,31,Ecuador,Enner Remberto Valencia Lastra,100.6,23.5,Open Play,Right Foot,0.029882463,,Normal
3857274,46,Ecuador,Enner Remberto Valencia Lastra,110.2,47.9,Open Play,Head,0.024015462,,Normal
3857274,47,Ecuador,Angelo Smit Preciado Quiñónez,100.6,54,Open Play,Right Foot,0.022953799,,Half Volley
3857274,47,Ecuador,Pervis Josué Estupiñán Tenorio,112,44.1,Open Play,Left Foot,0.18923391,,Half Volley
3857274,48,Ecuador,Pervis Josué Estupiñán Tenorio,105.8,28.7,Open Play,Left Foot,0.08083876,,Normal
3857274,48,Ecuador,Enner Remberto Valencia Lastra,116,38.1,Open Play,Right Foot,0.790909,1,Half Volley
3857274,58,Ecuador,Enner Remberto Valencia Lastra,102,37.5,Open Play,Right Foot,0.09564507,,Normal
3857274,58,Ecuador,Gonzalo Jordy Plata Jiménez,104.2,52.6,Open Play,Left Foot,0.046335444,,Normal
3857274,63,Ecuador,Michael Steveen Estrada Martínez,105.1,38,Open Play,Left Foot,0.13418972,,Normal
3857274,65,Netherlands,Teun Koopmeiners,96.5,40.9,Open Play,Left Foot,0.04520454,,Normal
3857274,72,Ecuador,Moisés Isaac Caicedo Corozo,103.2,29.4,Open Play,Right Foot,0.03323832,,Half Volley
3857274,80,Ecuador,Angelo Smit Preciado Quiñónez,95.3,57.9,Open Play,Right Foot,0.007451811,,Half Volley
3857274,91,Ecuador,Angelo Smit Preciado Quiñónez,98.9,38.2,Open Play,Head,0.033830326,,Normal
3857255,6,Spain,Sergio Busquets i Burgos,97,46.1,Open Play,Left Foot,0.03268242,,Normal
3857255,7,Japan,Junya Ito,114,53.5,Open Play,Right Foot,0.04214545,,Normal
3857255,8,Spain,Álvaro Borja Morata Martín,109.9,35.6,Open Play,Head,0.06376064,,Normal
3857255,11,Spain,Álvaro Borja Morata Martín,115.3,38.3,Open Play,Head,0.33106714,1,Normal
3857255,22,Spain,Álvaro Borja Morata Martín,104.7,51.6,Open Play,Right Foot,0.10093839,,Normal
3857255,35,Japan,Daichi Kamada,107,54.5,Open Play,Right Foot,0.03356069,,Normal
3857255,41,Spain,Daniel Olmo Carvajal,102.8,35.2,Open Play,Right Foot,0.10385344,,Normal
3857255,47,Japan,Ritsu Doan,100.5,55.8,Open Play,Left Foot,0.027777622,1,Normal
3857255,50,Japan,Ao Tanaka,118.7,40.2,Open Play,Other,0.87261814,1,Normal
3857255,69,Japan,Takuma Asano,100.5,36.3,Open Play,Right Foot,0.13121767,,Normal
3857255,73,Spain,Marco Asensio Willemsen,104.8,23.5,Open Play,Left Foot,0.016301522,,Normal
3857255,79,Spain,Daniel Olmo Carvajal,86.3,46.3,Open Play,Right Foot,0.01649772,,Normal
3857255,82,Japan,Ko Itakura,104,39,Open Play,Head,0.0504811,,Normal
3857255,84,Spain,Marco Asensio Willemsen,96.8,52.1,Open Play,Left Foot,0.02842248,,Normal
3857255,88,Spain,Jordi Alba Ramos,97.9,27,Open Play,Right Foot,0.0241939,,Normal
3857255,88,Spain,Marco Asensio Willemsen,94.8,61.9,Open Play,Left Foot,0.007735879,,Normal
3857255,89,Spain,Daniel Olmo Carvajal,111,52,Open Play,Right Foot,0.12373556,,Normal
3857255,95,Spain,Daniel Olmo Carvajal,94.2,57,Open Play,Right Foot,0.008523117,,Normal
3857272,9,England,Harry Kane,108.9,42.6,Open Play,Right Foot,0.10607713,,Normal
3857272,9,England,John Stones,109.2,38.6,Open Play,Head,0.04222343,,Normal
3857272,10,England,Mason Mount,94.2,27.2,Open Play,Right Foot,0.019677445,,Normal
3857272,16,United States,Haji Wright,108.1,43.9,Open Play,Head,0.048006557,,Normal
3857272,25,United States,Weston McKennie,110.5,39.5,Open Play,Right Foot,0.18268152,,Half Volley
3857272,28,United States,Yunus Dimoara Musah,93,25.1,Open Play,Right Foot,0.016826272,,Normal
3857272,32,United States,Christian Pulisic,106.4,24.4,Open Play,Left Foot,0.023374733,,Normal
3857272,40,United States,Sergino Dest,108.6,51.2,Open Play,Left Foot,0.056137927,,Normal
3857272,42,United States,Christian Pulisic,110,42.8,Open Play,Head,0.05394238,,Normal
3857272,44,England,Bukayo Saka,113.2,36.1,Open Play,Left Foot,0.08680134,,Normal
3857272,45,England,Mason Mount,100.1,32.9,Open Play,Right Foot,0.0710417,,Normal
3857272,48,United States,Haji Wright,106.5,28.3,Open Play,Right Foot,0.0422633,,Normal
3857272,48,United States,Weston McKennie,99.2,53.9,Open Play,Right Foot,0.032319076,,Normal
3857272,57,United States,Christian Pulisic,98.8,24.7,Open Play,Right Foot,0.025169194,,Normal
3857272,61,United States,Christian Pulisic,95.3,40.1,Open Play,Left Foot,0.033566043,,Normal
3857272,86,England,Marcus Rashford,105.3,20.7,Open Play,Right Foot,0.009332121,,Normal
3857272,90,England,Harry Maguire,109.9,37.5,Open Play,Head,0.05556727,,Normal
3857272,92,England,Harry Kane,111.2,40.8,Open Play,Head,0.06991791,,Normal
3857278,8,United States,Yunus Dimoara Musah,100.5,38.2,Open Play,Left Foot,0.045798708,,Volley
3857278,10,United States,Christian Pulisic,110.1,35.6,Open Play,Head,0.080380306,,Normal
3857278,27,United States,Joshua Sargent,99,32.1,Open Play,Right Foot,0.040954046,,Normal
3857278,27,United States,Timothy Weah,109.7,35.9,Open Play,Head,0.12157792,,Normal
3857278,29,United States,Sergino Dest,101.3,48.2,Open Play,Left Foot,0.05512647,,Normal
3857278,32,United States,Timothy Weah,108.7,54.1,Open Play,Right Foot,0.04585104,,Normal
3857278,36,United States,Sergino Dest,102,50.5,Open Play,Right Foot,0.043695714,,Normal
3857278,37,United States,Christian Pulisic,115.1,38.7,Open Play,Right Foot,0.5303789,1,Half Volley
3857278,41,United States,Joshua Sargent,114.2,56.9,Open Play,Right Foot,0.011004616,,Half Volley
3857278,46,United States,Joshua Sargent,110,25.2,Open Play,Left Foot,0.05674209,,Normal
3857278,51,Iran,Saman Ghoddos,114.1,38.7,Open Play,Head,0.39133456,,Diving Header
3857278,68,United States,Yunus Dimoara Musah,97,43.3,Free Kick,Right Foot,0.080397844,,Normal
3857278,69,Iran,Saeid Ezatolahi Afagh,90.8,21.8,Open Play,Right Foot,0.006830182,,Normal
3857278,92,Iran,Morteza Pouraliganji,111,35.6,Open Play,Head,0.21722858,,Diving Header
3857278,97,Iran,Mehdi Taremi,111.1,39.5,Open Play,Left Foot,0.30539662,,Volley
3857278,99,United States,Haji Wright,105.1,23.9,Open Play,Left Foot,0.057746947,,Normal
3857277,6,Morocco,Noussair Mazraoui,96.9,32,Open Play,Right Foot,0.026111592,,Half Volley
3857277,12,Morocco,Hakim Ziyech,101.9,43.3,Open Play,Left Foot,0.052363984,,Normal
3857277,16,Croatia,Ivan Perišić,82.9,33.6,Open Play,Left Foot,0.00976612,,Normal
3857277,18,Morocco,Sofiane Boufal,96.7,46.7,Open Play,Left Foot,0.04188839,,Normal
3857277,20,Morocco,Hakim Ziyech,94.5,37.4,Free Kick,Left Foot,0.06625415,,Normal
3857277,24,Morocco,Youssef En-Nesyri,117.8,31.5,Open Play,Left Foot,0.03416934,,Half Volley
3857277,45,Croatia,Nikola Vlašić,114.7,35.7,Open Play,Right Foot,0.44776994,,Normal
3857277,46,Croatia,Nikola Vlašić,105.2,33.9,Open Play,Right Foot,0.06879163,,Half Volley
3857277,46,Croatia,Luka Modrić,98.8,39.3,Open Play,Left Foot,0.073204115,,Normal
3857277,50,Morocco,Sofiane Boufal,94,38.6,Open Play,Left Foot,0.042848527,,Normal
3857277,50,Morocco,Noussair Mazraoui,115.3,29.2,Open Play,Head,0.07962643,,Diving Header
3857277,51,Croatia,Dejan Lovren,112.7,38.8,Open Play,Left Foot,0.2503287,,Normal
3857277,64,Morocco,Achraf Hakimi Mouh,88.5,31.5,Open Play,Right Foot,0.019376563,,Normal
3857273,2,Wales,Neco Williams,99.5,23,Open Play,Right Foot,0.023614733,,Normal
3857273,6,Iran,Sardar Azmoun,97.2,31.2,Open Play,Right Foot,0.035244513,,Normal
3857273,11,Wales,Kieffer Roberto Francisco Moore,111.6,44.5,Open Play,Right Foot,0.12850787,,Volley
3857273,19,Iran,Ahmad Nourollahi,95.5,34,Open Play,Right Foot,0.017788952,,Normal
3857273,22,Iran,Sardar Azmoun,109.6,34.7,Open Play,Head,0.07202582,,Normal
3857273,28,Wales,Gareth Frank Bale,88.9,36.5,Open Play,Left Foot,0.02170084,,Volley
3857273,41,Wales,Harry Wilson,105.5,25.4,Open Play,Left Foot,0.030164797,,Normal
3857273,48,Iran,Mehdi Taremi,105.7,38.8,Open Play,Left Foot,0.08566745,,Normal
3857273,49,Iran,Ahmad Nourollahi,86.4,48.2,Open Play,Right Foot,0.011584845,,Half Volley
3857273,50,Iran,Sardar Azmoun,110,49.7,Open Play,Right Foot,0.28799564,,Normal
3857273,51,Iran,Ali Gholizadeh,97.2,48,Open Play,Left Foot,0.04282673,,Normal
3857273,51,Iran,Sardar Azmoun,111,36.2,Open Play,Head,0.21401532,,Normal
3857273,52,Wales,Kieffer Roberto Francisco Moore,114.4,39.9,Open Play,Head,0.22100283,,Normal
3857273,55,Iran,Ehsan Hajsafi,104.6,33.1,Open Play,Left Foot,0.068153165,,Half Volley
3857273,63,Iran,Mehdi Taremi,107.1,29.4,Open Play,Right Foot,0.075855605,,Normal
3857273,69,Iran,Ahmad Nourollahi,90.5,45.6,Open Play,Right Foot,0.015279148,,Normal
3857273,71,Iran,Morteza Pouraliganji,100.8,38.5,Open Play,Left Foot,0.05160931,,Half Volley
3857273,72,Iran,Saeid Ezatolahi Afagh,99.5,49.3,Open Play,Right Foot,0.047915842,,Normal
3857273,74,Iran,Ahmad Nourollahi,85.8,53.5,Open Play,Right Foot,0.0072957636,,Normal
3857273,82,Wales,Aaron Ramsey,104,53.9,Open Play,Right Foot,0.025361432,,Volley
